"Values [0 - 100]", "Valores [0 - 100]"
"Minimum Qty for Item's", "Qtde Mínima por Item's"
"Product Comparison", "Comparação de Produto"
"No categories found", "Nenhuma categoria encontrada"
"Image cache path, relative to AXIS_ROOT", "Caminho da imagem do cache em relação ao AXIS_ROOT"
"Regular price", "Preço Normal"
"Product", "Produto"
"Special price", "Preço Promocional"
"You save", "Você economiza"
"Add to Сompare", "Adicionar para Сomparar"
"Add to Wishlist", "Adicionar à Lista de Pedidos"
"Add to cart", "Adicionar ao carrinho"
"Add", "Adicionar"
"Additional images", "Imagens adicionais"
"All Products", "Todos os Produtos"
"Attributes", "Atributos"
"Backorders", "Pedidos em atraso"
"Base Image", "Imagem Base"
"Begin", "Inicio"
"Catalog", "Catálogo"
"Categories", "Categorias"
"Category successfully saved", "Categoria salva com sucesso"
"Choose option", "Escolha a opção"
"Close", "Fechar"
"Code", "Código"
"Comparable", "Comparável"
"Compare", "Compare"
"Data has been saved successfully", "Dados foram salvos com sucesso"
"Data was successfully saved", "Dados salvos com sucesso"
"Date Available", "Data Disponível "
"Description", "Descrição"
"Duplicate entry (url)", "Duplicar entrada (url)"
"Empty", "Vazio"
"End", "Fim"
"Enter path", "Digite o caminho"
"Featured", "Destaque"
"Filterable", "Filtráveis"
"Grid", "Grade"
"SEO url", "SEO url"
"Image %s of %s", "Imagem %s de %s"
"Image SEO prefix", "Prefixo Imagem SEO"
"Image", "Imagem"
"Invalid data recieved", "Dados recebidos inválidos"
"Invalid parameter recieved. ProductId is required", "Parâmetro recebido inválido. Id do produto é obrigatório"
"Item(s)", "Item(s)"
"Keywords", "Palavras-chave"
"Language sensivity", "Sensibilidade de idioma"
"List", "Lista"
"Loading error", "Erro ao Carregar"
"Loading", "Carregando"
"Main Images", "Imagens Principais"
"Manage stock", "Gerenciar estoque"
"Manufacturer was deleted successfully", "Fabricante excluído com sucesso"
"Manufacturer", "Fabricante"
"Maximum Qty Allowed", "Qtde Máxima Permitida"
"Maximum allowed quantity is %d", "Quantidade máxima permitida é %d"
"Method %s not exist", "Método %s não existe"
"Minimum Qty Allowed", "Qtde Mínima Permitida"
"Minimum allowed quantity is %d", "Quantidade mínima permitida é %d"
"Name", "Nome"
"Next", "Próximo"
"No description available", "Nenhuma descrição disponível"
"Notify for Quantity Below", "Informe a quantidade abaixo"
"Only %d %s available", "Só %d %s disponível"
"Only %d %s", "Só %d %s"
"Option Label", "Opção de Etiqueta"
"Option was deleted successfully", "Opção excluída com sucesso"
"Option was saved successfully", "Opção salva com sucesso"
"Out of stock", "Esgotado"
"Please fill product url field", "Por favor, preencher o campo URL do produto"
"Please, add products for comparation", "Por favor, adicione produtos para comparação"
"Prev", "Anterior"
"Preview", "Visualizar"
"Price", "Preço"
"Product %s not found", "Produto %s não encontrado"
"Product Attributes", "Atributos de produto"
"Product is out of stock", "Produto está indisponível no estoque "
"Product not found", "Produto não encontrado"
"Product url not saved. Duplicate entry url", "URL do produto não foi salva. Duplicar URL de entrada"
"Products Catalog", "Catálogo de Produtos"
"Products", "Produtos"
"Qty Uses Decimals", "Utilizar Qtde Decimais"
"Quantity", "Quantidade"
"Quick Overview", "Visualização Rápida"
"Remove filter", "Remover filtro"
"Remove item", "Remover item"
"Remove", "Remover"
"SEO", "SEO"
"SKU", "Sku"
"Save", "Salvar"
"Search indexes updated successfully", "Índices de pesquisa atualizada com sucesso"
"Searchable", "Pesquisável"
"Set product as new From", "Definir como novo produto de"
"Set product as new To", "Definir o produto como novo para"
"Short Description", "Pequena Descrição"
"Show per page", "Mostrar por página"
"Sort ascending", "Classificação crescente"
"Sort by", "Classificar por"
"Sort descending", "Classificação decrescente"
"Sort Order", "Ordem de Classificação"
"Special Price From", "Preço Promocional de"
"Special Price To", "Preço Promocional para"
"Status to be Out of Stock", "Status para estar Esgotado"
"Status", "Status"
"Stock Availability", "Disponibilidade de Estoque"
"Tax Class", "Classe de Imposto"
"There are no products matching your request", "Não foram encontrados produtos com sua solicitação"
"Thumbnail Image", "Imagem Miniatura"
"Title", "Título"
"Type", "Tipo"
"Upload image", "Carregar imagem"
"Value Set", "Definir Valor"
"Value Sets", "Definir Valores"
"Value was deleted sucessfully", "Valor excluído com sucesso"
"Value Set not found", "Valor Definido não encontrado"
"Value Set was deleted sucessfully", "Valor Definido excluído com sucesso"
"View mode", "Modo de Visualização"
"Weight", "Peso"
"Only %d item(s) are available", "Somente %d item(s) estão disponíveis"
"Store hottest products", "Produtos mais vendidos da loja"
"Popular products", "Produtos Populares"
"No products found", "Nenhum produto foi encontrado"
"Bestsellers", "Mais Vendidos"
"Filters", "Filtros"
"New products", "Novos Produtos"
"Product Catalog", "Catálogo de Produtos"
"Product Brands", "Fabricantes"
"Add Product", "Adicionar Produto"
"Add Category", "Adicionar Categoria"
"Images", "Imagens"
"Cache", "Cache"
"Cache path", "Caminho do Cache"
"Catalog route", "Via Catálogo"
"Default product count per page", "Contagem padrão do produto por página"
"Enabled", "Ativado"
"Hurl world delimiter", "Empurra delimitador mundial"
"Image path", "Caminho da Imagem"
"Large height", "Altura maior"
"Large width", "Largura maior"
"Lens cursor", "Cursor da lente"
"Lens opacity", "Opacidade da lente"
"Lightbox fade speed", "Velocidade de saida Lightbox"
"Lightbox resize speed", "Velocidade redimensionamento Lightbox"
"Lightbox trigger", "Gatilho Lightbox"
"Mask opacity", "Opacidade da máscara"
"Opacity", "Opacidade"
"Product Info height", "Informação altura do produto"
"Product Info width", "Informação largura do produto"
"Repeat", "Repetir"
"SEO Description Length (45 -150 chars)", "Descrição SEO Comprimento (45 -150 caracteres)"
"Small height", "Altura reduzida"
"Small width", "Largura reduzida"
"Switch image trigger", "Gatilho de imagem"
"Thumbnail image height", "Altura de imagem miniatura"
"Thumbnail image width", "Largura de imagem miniatura"
"Watermark Position", "Posição Marca d'água"
"Zoom off trigger", "Zoom off trigger"
"Zoom on trigger", "Zoom on trigger"
"Zoomer height", "Altura Zoomer"
"Zoomer offset-x", "Zoomer offset-x"
"Zoomer offset-y", "Zoomer offset-y"
"Zoomer position", "Posição Zoomer"
"Zoomer width", "Largura Zoomer"
"Lightzoom", "Lightzoom"
"General", "Geral"
"Product Listing", "Listagem de Produto"
"Product View", "Visualizar Produto"
"Product Images", "Imagens do Produto"
"Watermark", "Marca d'água"
"Catalog url (example.com/<b>route</b>/product)", "Catálogo url (exemplo.com/<b>caminho</b>/produto)"
"Animation speed, ms", "Velocidade de Animação, em"
"Select none, if you wish to disable this event", "Não seleccionar nenhuma, se você quiser desativar este evento"
"Default listing type", "Tipo de listagem padrão"
"Enable image cache", "Ativar cache de imagem"
"Path relative to the skin images folder: catalog/watermark.png", "Caminho relativo para a pasta skin: catalog/watermark.png"
"Item(s) %d to %d of %d","Item(s) %d para %d de %d"
"Update Price Indexes","Update Price Indexes"
