"Minimum Qty for Item's", "Минимальное количество товаров"
"No categories found", "Категория не найдена"
"Regular price", "Цена"
"Special price", "Специальная цена"
"You save", "Вы экономите"
"Add to Compare", "Добавить для сравнению"
"Add to Wishlist", "Добавить в список желаний"
"Add to cart", "Добавить в корзину"
"Add", "Добавить"
"Additional images", "Дополнительные изображения"
"All Products", "Все продукты"
"Attributes", "Атрибуты"
"Backorders", "Возвращенные заказы"
"Base Image", "Базовое изображение"
"Begin", "Начать"
"Catalog", "Каталог"
"Categories", "Категории"
"Category successfully saved", "Категория успешно сохранена"
"Choose option", "Выбрать опцию"
"Close", "Закрыть"
"Code", "Код"
"Comparable", "Сравнимый"
"Compare", "Сравнить"
"Data has been saved successfully", "Данные были успешно сохранены"
"Data was successfully saved", "Данные были успешно сохранены"
"Date Available", "Доступно с"
"Description", "Описание"
"Duplicate entry (url)", "Значение URL повторяется"
"Empty", "Пусто"
"End", "Конец"
"Enter path", "Введите путь"
"Featured", "Популярный"
"Filterable", "Фильтрующийся"
"Grid", "Сетка"
"SEO url", "SEO url"
"Image %s of %s", "Изображение %s из %s"
"Image SEO prefix", "SEO префикс изображения"
"Image", "Изображение"
"Invalid data recieved", "Получены не корректные данные"
"Invalid parameter recieved. ProductId is required", "Получен не правильный параметр. Нужно ProductId"
"Item(s)", "Товар(ы)"
"Keywords", "Ключевые слова"
"Language sensivity", "Зависит от языка"
"List", "Список"
"Loading error", "Ошибка при загрузке"
"Loading", "Загрузка"
"Main Images", "Главное изображение"
"Manage stock", "Управление складом"
"Manufacturer was deleted successfully", "Производитель успешно удален"
"Manufacturer", "Производитель"
"Maximum Qty Allowed", "Допустимое максимальное количество"
"Maximum allowed quantity is %d", "Максимальное допустимое количество %d"
"Method %s not exist", "Метод %s не существует"
"Minimum Qty Allowed", "Минимальное допустимое количество"
"Minimum allowed quantity is %d", "Минимальное допустимое количество %d"
"Name", "Имя"
"Next", "Дальше"
"No description available", "Нет описания"
"Notify for Quantity Below", "Подписаться на количество ниже"
"Only %d %s available", "Только %d %s доступно"
"Only %d %s", "Только %d %s"
"Option Label", "Метка опции"
"Option was deleted successfully", "Опция была успешно удалена"
"Option was saved successfully", "Опция была успешно сохранена"
"Out of stock", "Нет в наличии"
"Please fill product url field", "Пожалуйста, заполните поле продукта (URL)"
"Please, add products for comparation", "Пожалуйста, добавьте продукты для сравнения"
"Prev", "Назад"
"Preview", "Предпросмотр"
"Price", "Цена"
"Product %s not found", "Продукт %s не найден"
"Product Attributes", "Атрибуты продукта"
"Product Comparison", "Сравнение продуктов"
"Product is out of stock", "Продукта нет в наличии"
"Product not found", "Продукт не найден"
"Product url not saved. Duplicate entry url", "URL продукта не сохранено. Дублируется значение URL"
"Products Catalog", "Каталог продуктов"
"Products", "Продукты"
"Qty Uses Decimals", "Использовать"
"Quantity", "Количество"
"Quick Overview", "Быстрый просмотр"
"Remove filter", "Удалить фильтр"
"Remove item", "Удалить товар"
"Remove", "Удалить"
"SEO", "SEO"
"Sku", "Складской номер"
"Save", "Сохранить"
"Search indexes updated successfully", "Поисковый индекс успешно обновлен"
"Searchable", "Доступен для поиска"
"Set product as new From", "Продукт новый с"
"Set product as new To", "Продукт новый до"
"Short Description", "Краткое описание"
"Show per page", "Показать на странице"
"Sort ascending", "Сортировать по возрастанию"
"Sort by", "Сортировать по"
"Sort descending", "Сортировать по убыванию"
"Sort Order", "Сортировка"
"Special Price From", "Специальная цена от"
"Special Price To", "Специальная цена до"
"Status to be Out of Stock", "Статус нет в наличии"
"Status", "Статус"
"Stock Availability", "Есть в наличии"
"Tax Class", "Налоговый класс"
"There are no products matching your request", "Нет продуктов соответствующих Вашему запросу"
"Thumbnail Image", "Миниатюра изображения"
"Title", "Название"
"Type", "Тип"
"Upload image", "Загрузить изображение"
"Value Set", "Набор значений"
"Value Sets", "Наборы значений"
"Value sets", "Наборы значений"
"Value was deleted sucessfully", "Значение было успешно удалено"
"Value Set not found", "Набор значений не найден"
"Value Set was deleted sucessfully", "Набор значений успешно удален"
"View mode", "Режим просмотра"
"Weight", "Вес"
"Only %d item(s) are available", "Доступно товаров: %d"
"Store hottest products", "Обратите внимание"
"Popular products", "Популярные продукты"
"No products found", "Продукты не найдены"
"Bestsellers", "Бестселлеры"
"Filters", "Фильтры"
"New products", "Новые продукты"
"Product Catalog", "Каталог продуктов"
"Product Brands", "Каталог брендов"
"Add Product", "Добавить продукт"
"Add Category", "Добавить категорию"
"Images", "Изображения"
"Cache", "Кэш"
"Cache path", "Путь к кэшу"
"Catalog route", "Маршрут к каталогу"
"Default product count per page", "Количество продуктов на страницу по умолчанию"
"Enabled", "Включено"
"Hurl world delimiter", "Разделитель слов в hurl"
"Image path", "Путь к изображению"
"Large height", "Высота большой"
"Large width", "Ширина большой"
"Lens cursor", "Лупа: курсор"
"Lens opacity", "Лупа: прозрачность"
"Lightbox fade speed", "Лайтбокс: скорость исчезания"
"Lightbox resize speed", "Lightbox: скорость изменения размера"
"Lightbox trigger", "Лайтбокс: триггер"
"Mask opacity", "Прозрачность маски"
"Opacity", "Прозрачность"
"Product Info height", "Информация продукта: высота"
"Product Info width", "Информация продукта: ширина"
"Repeat", "Повторение"
"SEO Description Length (45 -150 chars)", "Длинна SEO описания (45-150 символов)"
"Small height", "Высота маленького изображения"
"Small width", "Ширина маленького изображения"
"Switch image trigger", "Тригер изменения изображения"
"Thumbnail image height", "Высота миниатюры"
"Thumbnail image width", "Ширина миниатюры"
"Watermark Position", "Позиция водяного знака"
"Zoom off trigger", "Тригер выключения зумера"
"Zoom on trigger", "Тригер включения зумера"
"Zoomer height", "Zoomer: высота"
"Zoomer offset-x", "Zoomer: offset-x"
"Zoomer offset-y", "Zoomer: offset-y"
"Zoomer position", "Zoomer: позиция"
"Zoomer width", "Zoomer: ширина"
"Lightzoom", "Lightzoom"
"General", "Общие"
"Product Listing", "Список продукта"
"Product View", "Просмотр продукта"
"Product Images", "Изображения продукта"
"Watermark", "Водяной знак"
"Catalog url (example.com/<b>route</b>/product)", "URL каталога (example.com/<b>route</b>/product)"
"Animation speed, ms", "Скорость анимации, мс"
"Select none, if you wish to disable this event", "Выберите нет, если вы хотите отключить это событие"
"Default listing type", "Тип списка по умалчанию"
"Image cache path, relative to ECART_ROOT", "Путь к кэшу изображений, относительно AXIS_ROOT"
"Enable image cache", "Включить кэш изображений"
"Path relative to the skin images folder: catalog/watermark.png", "Путь к изображениям в папке skin: catalog/watermark.png"
"Values [0 - 100]", "Значения [0 - 100]"
"Product", "Продукт"
"Item(s) %d to %d of %d","Показано %d - %d из %d"
